country-year;population;generation
Albania1987;312900;Generation X
Albania1987;308000;Silent
Albania1987;289700;Generation X
Albania1987;21800;G.I. Generation
Albania1987;274300;Boomers
Albania1987;35600;G.I. Generation
Albania1987;278800;Silent
Albania1987;257200;Boomers
Albania1987;137500;G.I. Generation
Albania1987;311000;Generation X
Albania1987;144600;G.I. Generation
Albania1987;338200;Generation X
Albania1988;36400;G.I. Generation
Albania1988;319200;Generation X
Albania1988;22300;G.I. Generation
Albania1988;314100;Silent
Albania1988;140200;G.I. Generation
Albania1988;295600;Generation X
Albania1988;147500;G.I. Generation
Albania1988;262400;Boomers
Albania1988;279900;Boomers
Albania1988;284500;Silent
Albania1988;317200;Generation X
Albania1988;345000;Generation X
Albania1989;22500;G.I. Generation
Albania1989;283600;Boomers
Albania1989;318400;Silent
Albania1989;142100;G.I. Generation
Albania1989;323500;Generation X
Albania1989;288600;Silent
Albania1989;299900;Generation X
Albania1989;266300;Boomers
Albania1989;149600;G.I. Generation
Albania1989;321900;Generation X
Albania1989;37000;G.I. Generation
Albania1989;349700;Generation X
Albania1992;343800;Boomers
Albania1992;263700;Generation X
Albania1992;159500;Silent
Albania1992;245500;Boomers
Albania1992;292400;Generation X
Albania1992;267400;Boomers
Albania1992;323100;Boomers
Albania1992;164900;Silent
Albania1992;336700;Millenials
Albania1992;38700;G.I. Generation
Albania1992;362900;Millenials
Albania1992;23900;G.I. Generation
Albania1993;243300;Generation X
Albania1993;165000;Silent
Albania1993;24200;G.I. Generation
Albania1993;230100;Boomers
Albania1993;285300;Generation X
Albania1993;350300;Boomers
Albania1993;261800;Boomers
Albania1993;331200;Boomers
Albania1993;169500;Silent
Albania1993;340300;Millenials
Albania1993;367000;Millenials
Albania1993;39300;G.I. Generation
Albania1994;24600;G.I. Generation
Albania1994;171400;Silent
Albania1994;39900;G.I. Generation
Albania1994;231400;Boomers
Albania1994;362800;Boomers
Albania1994;242200;Generation X
Albania1994;282600;Generation X
Albania1994;261100;Boomers
Albania1994;342500;Boomers
Albania1994;174600;Silent
Albania1994;371800;Millenials
Albania1994;344400;Millenials
Albania1995;232900;Generation X
Albania1995;178000;Silent
Albania1995;40800;G.I. Generation
Albania1995;283500;Generation X
Albania1995;241200;Generation X
Albania1995;25100;G.I. Generation
Albania1995;375900;Boomers
Albania1995;264000;Generation X
Albania1995;356400;Boomers
Albania1995;376500;Millenials
Albania1995;180400;Silent
Albania1995;348700;Millenials
Albania1996;25400;G.I. Generation
Albania1996;243600;Generation X
Albania1996;235300;Generation X
Albania1996;287700;Generation X
Albania1996;41200;G.I. Generation
Albania1996;267900;Generation X
Albania1996;379600;Boomers
Albania1996;362000;Boomers
Albania1996;179900;Silent
Albania1996;183100;Silent
Albania1996;380400;Millenials
Albania1996;354100;Millenials
Albania1997;236000;Generation X
Albania1997;244400;Generation X
Albania1997;25400;G.I. Generation
Albania1997;380800;Boomers
Albania1997;294000;Generation X
Albania1997;180300;Silent
Albania1997;273900;Generation X
Albania1997;42100;G.I. Generation
Albania1997;370100;Boomers
Albania1997;361800;Millenials
Albania1997;381500;Millenials
Albania1997;187000;Silent
Albania1998;25800;G.I. Generation
Albania1998;248800;Generation X
Albania1998;295600;Generation X
Albania1998;240400;Generation X
Albania1998;388200;Boomers
Albania1998;183800;Silent
Albania1998;275300;Generation X
Albania1998;188200;Silent
Albania1998;372100;Boomers
Albania1998;388400;Millenials
Albania1998;363800;Millenials
Albania1998;42300;G.I. Generation
Albania1999;25900;G.I. Generation
Albania1999;250600;Generation X
Albania1999;42400;G.I. Generation
Albania1999;391100;Boomers
Albania1999;242300;Generation X
Albania1999;185200;Silent
Albania1999;296800;Generation X
Albania1999;276500;Generation X
Albania1999;188800;Silent
Albania1999;373600;Boomers
Albania1999;365200;Millenials
Albania1999;391300;Millenials
Albania2000;232000;Generation X
Albania2000;177400;Silent
Albania2000;37800;G.I. Generation
Albania2000;24900;G.I. Generation
Albania2000;263900;Generation X
Albania2000;240000;Generation X
Albania2000;332200;Boomers
Albania2000;245800;Generation X
Albania2000;374700;Boomers
Albania2000;374900;Millenials
Albania2000;324700;Millenials
Albania2000;168000;Silent
Albania2001;206484;Generation X
Albania2001;378826;Boomers
Albania2001;196670;Silent
Albania2001;47254;Silent
Albania2001;256039;Millenials
Albania2001;271359;Millenials
Albania2001;370191;Boomers
Albania2001;31044;Silent
Albania2001;189799;Silent
Albania2001;321556;Millenials
Albania2001;222771;Generation X
Albania2001;307356;Millenials
Albania2002;31007;Silent
Albania2002;206286;Generation X
Albania2002;382139;Boomers
Albania2002;198130;Silent
Albania2002;263067;Millenials
Albania2002;275970;Millenials
Albania2002;375113;Boomers
Albania2002;223685;Generation X
Albania2002;47407;Silent
Albania2002;191712;Silent
Albania2002;304850;Millenials
Albania2002;319473;Millenials
Albania2003;49088;Silent
Albania2003;201520;Silent
Albania2003;386196;Boomers
Albania2003;273235;Millenials
Albania2003;283709;Millenials
Albania2003;195699;Silent
Albania2003;205433;Generation X
Albania2003;222941;Generation X
Albania2003;381760;Boomers
Albania2003;32667;Silent
Albania2003;313204;Millenials
Albania2003;298477;Millenials
Albania2004;35526;Silent
Albania2004;391767;Boomers
Albania2004;203938;Generation X
Albania2004;292268;Millenials
Albania2004;286768;Millenials
Albania2004;50970;Silent
Albania2004;222389;Generation X
Albania2004;207202;Silent
Albania2004;391436;Boomers
Albania2004;203841;Silent
Albania2004;286705;Millenials
Albania2004;302181;Millenials
Albania2005;281922;Millenials
Albania2005;190745;Generation X
Albania2005;386513;Boomers
Albania2005;276559;Millenials
Albania2005;210998;Silent
Albania2005;53191;Silent
Albania2005;281675;Millenials
Albania2005;177519;Generation X
Albania2005;380242;Boomers
Albania2005;291367;Millenials
Albania2005;214118;Silent
Albania2005;38471;Silent
Albania2006;283138;Millenials
Albania2006;186391;Generation X
Albania2006;388746;Boomers
Albania2006;267316;Millenials
Albania2006;215907;Silent
Albania2006;56011;Silent
Albania2006;286679;Millenials
Albania2006;174092;Generation X
Albania2006;379076;Boomers
Albania2006;282678;Millenials
Albania2006;219360;Silent
Albania2006;40782;Silent
Albania2007;42366;Silent
Albania2007;378626;Boomers
Albania2007;224160;Silent
Albania2007;57404;Silent
Albania2007;172494;Generation X
